survived,pclass,sex,age,sibsp,parch,fare,embarked,family_size,is_alone,age_group,fare_category,title,survival_priority,fare_per_person
0,3,male,20.0,0,0,7.05,S,1,1,Dewasa_Muda,Murah,Mr,Rendah,7.05
0,3,female,47.0,1,0,14.5,S,2,0,Dewasa,Mahal,Mrs,Sedang,7.25
1,2,female,29.0,1,0,26.0,S,2,0,Dewasa_Muda,Mahal,Mrs,Sedang,13.0
0,2,male,25.0,0,0,13.0,S,1,1,Dewasa_Muda,Menengah,Mr,Rendah,13.0
0,2,male,23.0,0,0,15.0458,C,1,1,Dewasa_Muda,Mahal,Mr,Rendah,15.0458
1,1,female,19.0,0,2,26.2833,S,3,0,Dewasa_Muda,Mahal,Miss,Tinggi,8.7611
0,1,male,37.0,1,0,53.1,S,2,0,Dewasa,Sangat_Mahal,Mr,Rendah,26.55
0,3,male,16.0,0,0,9.2167,S,1,1,Remaja,Menengah,Mr,Rendah,9.2167
0,1,male,24.0,0,0,79.2,C,1,1,Dewasa_Muda,Sangat_Mahal,Mr,Rendah,79.2
0,3,female,28.0,0,2,15.2458,C,3,0,Dewasa_Muda,Mahal,Mrs,Sedang,5.081933333333333
1,3,female,22.0,0,0,7.75,S,1,1,Dewasa_Muda,Murah,Miss,Sedang,7.75
1,3,female,24.0,1,0,15.85,S,2,0,Dewasa_Muda,Mahal,Mrs,Sedang,7.925
0,3,male,19.0,0,0,6.75,Q,1,1,Dewasa_Muda,Murah,Mr,Rendah,6.75
0,2,male,18.0,0,0,11.5,S,1,1,Remaja,Menengah,Mr,Rendah,11.5
0,2,male,19.0,1,1,36.75,S,3,0,Dewasa_Muda,Sangat_Mahal,Mr,Rendah,12.25
1,3,male,27.0,0,0,7.7958,S,1,1,Dewasa_Muda,Murah,Mr,Rendah,7.7958
0,3,female,9.0,2,2,34.375,S,5,0,Anak,Sangat_Mahal,Miss,Tinggi,6.875
0,2,male,36.5,0,2,26.0,S,3,0,Dewasa,Mahal,Mr,Rendah,8.666666666666666
0,2,male,42.0,0,0,13.0,S,1,1,Dewasa,Menengah,Lainnya,Rendah,13.0
0,2,male,51.0,0,0,12.525,S,1,1,Dewasa,Menengah,Lainnya,Rendah,12.525
1,1,female,22.0,1,0,66.6,S,2,0,Dewasa_Muda,Sangat_Mahal,Mrs,Tinggi,33.3
0,3,male,55.5,0,0,8.05,S,1,1,Dewasa,Menengah,Mr,Rendah,8.05
0,3,male,40.5,0,2,14.5,S,3,0,Dewasa,Mahal,Mr,Rendah,4.833333333333333
0,3,male,28.0,0,0,7.3125,S,1,1,Dewasa_Muda,Murah,Mr,Rendah,7.3125
0,1,male,51.0,0,1,61.3792,C,2,0,Dewasa,Sangat_Mahal,Mr,Rendah,30.6896
1,3,female,16.0,0,0,7.7333,Q,1,1,Remaja,Murah,Miss,Sedang,7.7333
0,3,male,30.0,0,0,8.05,S,1,1,Dewasa_Muda,Menengah,Mr,Rendah,8.05
0,3,male,28.0,0,0,8.6625,S,1,1,Dewasa_Muda,Menengah,Mr,Rendah,8.6625
0,3,male,28.0,8,2,69.55,S,11,0,Dewasa_Muda,Sangat_Mahal,Master,Rendah,6.322727272727272
0,3,male,44.0,0,1,16.1,S,2,0,Dewasa,Mahal,Mr,Rendah,8.05
1,2,female,40.0,0,0,15.75,S,1,1,Dewasa,Mahal,Mrs,Sedang,15.75
0,3,male,26.0,0,0,7.775,S,1,1,Dewasa_Muda,Murah,Mr,Rendah,7.775
0,3,male,17.0,0,0,8.6625,S,1,1,Remaja,Menengah,Mr,Rendah,8.6625
0,3,male,1.0,4,1,39.6875,S,6,0,Anak,Sangat_Mahal,Master,Sedang,6.614583333333333
1,3,male,9.0,0,2,20.525,S,3,0,Anak,Mahal,Master,Sedang,6.841666666666666
1,1,female,28.0,0,1,55.0,S,2,0,Dewasa_Muda,Sangat_Mahal,Mrs,Tinggi,27.5
0,3,female,45.0,1,4,27.9,S,6,0,Dewasa,Mahal,Mrs,Sedang,4.6499999999999995
0,1,male,28.0,0,0,25.925,S,1,1,Dewasa_Muda,Mahal,Mr,Rendah,25.925
0,3,male,28.0,0,0,56.4958,S,1,1,Dewasa_Muda,Sangat_Mahal,Mr,Rendah,56.4958
0,1,male,61.0,0,0,33.5,S,1,1,Lansia,Sangat_Mahal,Mr,Rendah,33.5
0,3,male,4.0,4,1,29.125,Q,6,0,Anak,Mahal,Master,Sedang,4.854166666666667
1,3,female,1.0,1,1,11.1333,S,3,0,Anak,Menengah,Miss,Tinggi,3.7111
0,3,male,21.0,0,0,7.925,S,1,1,Dewasa_Muda,Menengah,Mr,Rendah,7.925
0,1,male,56.0,0,0,30.6958,C,1,1,Dewasa,Mahal,Mr,Rendah,30.6958
0,3,male,18.0,1,1,7.8542,S,3,0,Remaja,Murah,Mr,Rendah,2.6180666666666665
0,3,male,28.0,3,1,25.4667,S,5,0,Dewasa_Muda,Mahal,Master,Rendah,5.0933399999999995
0,1,female,50.0,0,0,28.7125,C,1,1,Dewasa,Mahal,Miss,Tinggi,28.7125
0,2,male,30.0,0,0,13.0,S,1,1,Dewasa_Muda,Menengah,Mr,Rendah,13.0
0,3,male,36.0,0,0,0.0,S,1,1,Dewasa,Murah,Mr,Rendah,0.0
0,3,female,28.0,8,2,69.55,S,11,0,Dewasa_Muda,Sangat_Mahal,Miss,Sedang,6.322727272727272
0,2,male,28.0,0,0,15.05,C,1,1,Dewasa_Muda,Mahal,Mr,Rendah,15.05
0,3,male,9.0,4,2,31.3875,S,7,0,Anak,Sangat_Mahal,Master,Sedang,4.483928571428572
1,2,male,1.0,2,1,39.0,S,4,0,Anak,Sangat_Mahal,Master,Sedang,9.75
1,3,female,4.0,0,2,22.025,S,3,0,Anak,Mahal,Miss,Tinggi,7.341666666666666
0,1,male,28.0,0,0,50.0,S,1,1,Dewasa_Muda,Sangat_Mahal,Mr,Rendah,50.0
1,3,female,28.0,1,0,15.5,Q,2,0,Dewasa_Muda,Mahal,Mrs,Sedang,7.75
1,1,male,45.0,0,0,26.55,S,1,1,Dewasa,Mahal,Mr,Rendah,26.55
0,3,male,40.0,1,1,15.5,Q,3,0,Dewasa,Mahal,Mr,Rendah,5.166666666666667
0,3,male,36.0,0,0,7.8958,S,1,1,Dewasa,Murah,Mr,Rendah,7.8958
1,2,female,32.0,0,0,13.0,S,1,1,Dewasa_Muda,Menengah,Mrs,Sedang,13.0
0,2,male,19.0,0,0,13.0,S,1,1,Dewasa_Muda,Menengah,Mr,Rendah,13.0
1,3,female,19.0,1,0,7.8542,S,2,0,Dewasa_Muda,Murah,Miss,Sedang,3.9271
1,2,male,3.0,1,1,26.0,S,3,0,Anak,Mahal,Master,Sedang,8.666666666666666
1,1,female,44.0,0,0,27.7208,C,1,1,Dewasa,Mahal,Mrs,Tinggi,27.7208
1,1,female,58.0,0,0,146.5208,C,1,1,Dewasa,Sangat_Mahal,Miss,Tinggi,146.5208
0,3,male,28.0,0,0,7.75,Q,1,1,Dewasa_Muda,Murah,Mr,Rendah,7.75
0,3,male,42.0,0,1,8.4042,S,2,0,Dewasa,Menengah,Mr,Rendah,4.2021
1,3,female,28.0,0,0,7.75,Q,1,1,Dewasa_Muda,Murah,Miss,Sedang,7.75
0,2,female,24.0,0,0,13.0,S,1,1,Dewasa_Muda,Menengah,Miss,Sedang,13.0
0,3,male,28.0,0,0,9.5,S,1,1,Dewasa_Muda,Menengah,Mr,Rendah,9.5
0,3,male,28.0,8,2,69.55,S,11,0,Dewasa_Muda,Sangat_Mahal,Mr,Rendah,6.322727272727272
0,3,male,34.0,0,0,6.4958,S,1,1,Dewasa_Muda,Murah,Mr,Rendah,6.4958
0,3,male,45.5,0,0,7.225,C,1,1,Dewasa,Murah,Mr,Rendah,7.225
1,3,male,18.0,0,0,8.05,S,1,1,Remaja,Menengah,Mr,Rendah,8.05
0,3,female,2.0,0,1,10.4625,S,2,0,Anak,Menengah,Miss,Tinggi,5.23125
0,3,male,32.0,1,0,15.85,S,2,0,Dewasa_Muda,Mahal,Mr,Rendah,7.925
1,3,male,26.0,0,0,18.7875,C,1,1,Dewasa_Muda,Mahal,Mr,Rendah,18.7875
1,3,female,16.0,0,0,7.75,Q,1,1,Remaja,Murah,Miss,Sedang,7.75
1,1,male,40.0,0,0,31.0,C,1,1,Dewasa,Mahal,Mr,Rendah,31.0
0,3,male,24.0,0,0,7.05,S,1,1,Dewasa_Muda,Murah,Mr,Rendah,7.05
1,2,female,35.0,0,0,21.0,S,1,1,Dewasa_Muda,Mahal,Miss,Sedang,21.0
0,3,male,22.0,0,0,7.25,S,1,1,Dewasa_Muda,Murah,Mr,Rendah,7.25
0,2,male,30.0,0,0,13.0,S,1,1,Dewasa_Muda,Menengah,Mr,Rendah,13.0
0,3,male,28.0,1,0,7.75,Q,2,0,Dewasa_Muda,Murah,Mr,Rendah,3.875
1,1,female,31.0,1,0,113.275,C,2,0,Dewasa_Muda,Sangat_Mahal,Miss,Tinggi,56.6375
1,3,female,27.0,0,0,7.925,S,1,1,Dewasa_Muda,Menengah,Miss,Sedang,7.925
0,2,male,42.0,1,0,27.0,S,2,0,Dewasa,Mahal,Mr,Rendah,13.5
1,1,female,32.0,0,0,76.2917,C,1,1,Dewasa_Muda,Sangat_Mahal,Miss,Tinggi,76.2917
0,2,male,30.0,0,0,10.5,S,1,1,Dewasa_Muda,Menengah,Mr,Rendah,10.5
1,3,male,16.0,0,0,8.05,S,1,1,Remaja,Menengah,Mr,Rendah,8.05
0,2,male,27.0,0,0,13.0,S,1,1,Dewasa_Muda,Menengah,Mr,Rendah,13.0
0,3,male,51.0,0,0,8.05,S,1,1,Dewasa,Menengah,Mr,Rendah,8.05
0,3,male,28.0,0,0,7.8958,S,1,1,Dewasa_Muda,Murah,Mr,Rendah,7.8958
1,1,male,38.0,1,0,90.0,S,2,0,Dewasa,Sangat_Mahal,Mr,Rendah,45.0
0,3,male,22.0,0,0,9.35,S,1,1,Dewasa_Muda,Menengah,Mr,Rendah,9.35
1,2,male,19.0,0,0,10.5,S,1,1,Dewasa_Muda,Menengah,Mr,Rendah,10.5
0,3,male,20.5,0,0,7.25,S,1,1,Dewasa_Muda,Murah,Mr,Rendah,7.25
0,2,male,18.0,0,0,13.0,S,1,1,Remaja,Menengah,Mr,Rendah,13.0
0,3,female,28.0,3,1,25.4667,S,5,0,Dewasa_Muda,Mahal,Miss,Sedang,5.0933399999999995
1,1,female,35.0,1,0,83.475,S,2,0,Dewasa_Muda,Sangat_Mahal,Mrs,Tinggi,41.7375
0,3,male,29.0,0,0,7.775,S,1,1,Dewasa_Muda,Murah,Mr,Rendah,7.775
0,2,male,59.0,0,0,13.5,S,1,1,Dewasa,Menengah,Mr,Rendah,13.5
1,3,female,5.0,4,2,31.3875,S,7,0,Anak,Sangat_Mahal,Miss,Tinggi,4.483928571428572
0,2,male,24.0,0,0,10.5,S,1,1,Dewasa_Muda,Menengah,Mr,Rendah,10.5
0,3,female,28.0,0,0,7.55,S,1,1,Dewasa_Muda,Murah,Miss,Sedang,7.55
0,2,male,44.0,1,0,26.0,S,2,0,Dewasa,Mahal,Mr,Rendah,13.0
1,2,female,8.0,0,2,26.25,S,3,0,Anak,Mahal,Miss,Tinggi,8.75
0,2,male,19.0,0,0,10.5,S,1,1,Dewasa_Muda,Menengah,Mr,Rendah,10.5
0,2,male,33.0,0,0,12.275,S,1,1,Dewasa_Muda,Menengah,Mr,Rendah,12.275
0,3,female,28.0,1,0,14.4542,C,2,0,Dewasa_Muda,Mahal,Miss,Sedang,7.2271
1,3,female,28.0,1,0,15.5,Q,2,0,Dewasa_Muda,Mahal,Miss,Sedang,7.75
0,2,male,29.0,0,0,10.5,S,1,1,Dewasa_Muda,Menengah,Mr,Rendah,10.5
0,3,male,22.0,0,0,7.125,S,1,1,Dewasa_Muda,Murah,Mr,Rendah,7.125
0,3,male,30.0,0,0,7.225,C,1,1,Dewasa_Muda,Murah,Mr,Rendah,7.225
0,1,male,44.0,2,0,90.0,Q,3,0,Dewasa,Sangat_Mahal,Lainnya,Rendah,30.0
0,3,female,25.0,0,0,7.775,S,1,1,Dewasa_Muda,Murah,Miss,Sedang,7.775
1,2,female,24.0,0,2,14.5,S,3,0,Dewasa_Muda,Mahal,Mrs,Sedang,4.833333333333333
1,1,male,37.0,1,1,52.5542,S,3,0,Dewasa,Sangat_Mahal,Mr,Rendah,17.518066666666666
0,2,male,54.0,1,0,26.0,S,2,0,Dewasa,Mahal,Lainnya,Rendah,13.0
0,3,male,28.0,0,0,7.25,S,1,1,Dewasa_Muda,Murah,Mr,Rendah,7.25
0,3,female,29.0,1,1,10.4625,S,3,0,Dewasa_Muda,Menengah,Mrs,Sedang,3.4875000000000003
0,1,male,62.0,0,0,26.55,S,1,1,Lansia,Mahal,Mr,Rendah,26.55
0,3,male,30.0,1,0,16.1,S,2,0,Dewasa_Muda,Mahal,Mr,Rendah,8.05
0,3,female,41.0,0,2,20.2125,S,3,0,Dewasa,Mahal,Mrs,Sedang,6.7375
1,3,female,29.0,0,2,15.2458,C,3,0,Dewasa_Muda,Mahal,Mrs,Sedang,5.081933333333333
1,1,female,28.0,0,0,79.2,C,1,1,Dewasa_Muda,Sangat_Mahal,Mrs,Tinggi,79.2
1,1,female,30.0,0,0,86.5,S,1,1,Dewasa_Muda,Sangat_Mahal,Miss,Tinggi,86.5
1,1,female,35.0,0,0,512.3292,C,1,1,Dewasa_Muda,Sangat_Mahal,Miss,Tinggi,512.3292
1,2,female,50.0,0,1,26.0,S,2,0,Dewasa,Mahal,Mrs,Sedang,13.0
0,3,male,28.0,0,0,7.75,Q,1,1,Dewasa_Muda,Murah,Mr,Rendah,7.75
1,3,male,3.0,4,2,31.3875,S,7,0,Anak,Sangat_Mahal,Master,Sedang,4.483928571428572
0,1,male,52.0,1,1,79.65,S,3,0,Dewasa,Sangat_Mahal,Mr,Rendah,26.55
